district,school,contact_name,role,email,phone,whatsapp_number,preferred_channel,updated_at
Akatsi Municipal,St. Mary's JHS,Grace Mensah,Headteacher,head.stmarysjhs@demo.edupulse.gh,+233202495194,+233247077533,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Awasive JHS,Samuel Owusu,Headteacher,head.awasivejhs@demo.edupulse.gh,+233205132415,+233245691059,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Zongo JHS,Esther Agyeman,Headteacher,head.zongojhs@demo.edupulse.gh,+233206551282,+233249347248,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Kpeve JHS,Daniel Boateng,Headteacher,head.kpevejhs@demo.edupulse.gh,+233205715280,+233243887456,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Wute D/A JHS,Rebecca Amponsah,Headteacher,head.wutedajhs@demo.edupulse.gh,+233203163591,+233246154881,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,DA JHS,Joseph Osei,Headteacher,head.dajhs@demo.edupulse.gh,+233206785754,+233241036654,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Kpetsu JHS,Hannah Addo,Headteacher,head.kpetsujhs@demo.edupulse.gh,+233208432936,+233247234726,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Wute JHS,David Dankwa,Headteacher,head.wutejhs@demo.edupulse.gh,+233201587619,+233244318593,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Agorkpo JHS,Ruth Mills,Headteacher,head.agorkpojhs@demo.edupulse.gh,+233207686806,+233244726026,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Anlo Awo JHS,Emmanuel Nkrumah,Headteacher,head.anloawojhs@demo.edupulse.gh,+233205249641,+233245285938,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Keta JHS,Ama Frimpong,Headteacher,head.ketajhs@demo.edupulse.gh,+233202731855,+233249386513,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Kedzi JHS,Kofi Gyasi,Headteacher,head.kedzijhs@demo.edupulse.gh,+233202862586,+233244476497,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Anyako JHS,Abena Asante,Headteacher,head.anyakojhs@demo.edupulse.gh,+233205823507,+233242828828,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Dzodze JHS,Kwame Ofori,Headteacher,head.dzodzejhs@demo.edupulse.gh,+233205069927,+233242884437,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Penyi JHS,Akosua Amissah,Headteacher,head.penyijhs@demo.edupulse.gh,+233203560135,+233248698794,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Wuti JHS,Yaw Kufuor,Headteacher,head.wutijhs@demo.edupulse.gh,+233201710720,+233249812578,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Aflao JHS,Yaa Rawlings,Headteacher,head.aflaojhs@demo.edupulse.gh,+233205658133,+233245194175,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Tadzewu JHS,Kwabena Mahama,Headteacher,head.tadzewujhs@demo.edupulse.gh,+233204582215,+233241666758,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Dzorkpe JHS,Afia Akufo,Headteacher,head.dzorkpejhs@demo.edupulse.gh,+233206154425,+233244022498,WhatsApp,2026-06-28 12:27:17 UTC
Akatsi Municipal,Denu JHS,Kojo Boaten,Headteacher,head.denujhs@demo.edupulse.gh,+233203759509,+233244756529,WhatsApp,2026-06-28 12:27:17 UTC
