Student_ID,Student_Name,Gender,School_Name,Circuit,Attendance_Percent,Action_Zone,Math_Improvement,Math_Consistency,Mathematics_Assignments,Mathematics_Term1_Exam,Mathematics_Term2_Exam,Mathematics_Mock1,Mathematics_Mock2,Mathematics_Final_BECE,English_Language_Assignments,English_Language_Term1_Exam,English_Language_Term2_Exam,English_Language_Mock1,English_Language_Mock2,English_Language_Final_BECE,Integrated_Science_Assignments,Integrated_Science_Term1_Exam,Integrated_Science_Term2_Exam,Integrated_Science_Mock1,Integrated_Science_Mock2,Integrated_Science_Final_BECE,Social_Studies_Assignments,Social_Studies_Term1_Exam,Social_Studies_Term2_Exam,Social_Studies_Mock1,Social_Studies_Mock2,Social_Studies_Final_BECE,ICT_Assignments,ICT_Term1_Exam,ICT_Term2_Exam,ICT_Mock1,ICT_Mock2,ICT_Final_BECE,RME_Assignments,RME_Term1_Exam,RME_Term2_Exam,RME_Mock1,RME_Mock2,RME_Final_BECE,BDT_Assignments,BDT_Term1_Exam,BDT_Term2_Exam,BDT_Mock1,BDT_Mock2,BDT_Final_BECE,French_Assignments,French_Term1_Exam,French_Term2_Exam,French_Mock1,French_Mock2,French_Final_BECE,Ewe_Assignments,Ewe_Term1_Exam,Ewe_Term2_Exam,Ewe_Mock1,Ewe_Mock2,Ewe_Final_BECE
AK-JHS-0001,Kwadwo Agbeko,M,Abor Main JHS,Avenorpeme,51.6,4. STRUGGLER,2,5,74,93,41,61,39,51,84,89,40,68,77,91,75,54,88,44,95,83,84,91,82,51,87,52,41,50,66,47,81,74,49,72,87,58,44,55,53,39,92,51,88,36,93,78,80,47,58,92,53,68,72,85,48,52
AK-JHS-0002,Akua Azumah,F,Gornikope JHS,Agbedrafor,72.4,4. STRUGGLER,12,5,53,42,89,37,49,87,52,71,61,90,49,44,40,60,71,47,71,86,89,58,66,51,57,78,71,75,59,82,39,92,50,40,50,55,62,66,80,65,44,74,85,71,60,69,35,69,46,62,77,68,36,78,88,88
AK-JHS-0003,Aseye Kpodo,F,Hatsiukope JHS,Agbedrafor,86.0,4. STRUGGLER,-3,6,39,74,94,40,69,58,86,86,79,91,51,90,40,91,47,36,67,83,89,70,53,83,93,78,44,75,59,64,72,76,59,82,75,63,76,38,40,49,78,95,82,87,52,91,37,36,74,53,61,79,40,38,50,44
AK-JHS-0004,Yaw Ahiable,M,Weta JHS,Avenorpedo,56.3,2. DIAMOND,-3,2,62,51,75,38,35,91,51,86,88,87,83,53,72,55,65,73,45,68,83,87,78,92,39,54,75,55,51,41,64,92,38,68,47,44,62,88,76,89,83,89,53,57,93,51,80,95,92,72,61,92,61,35,89,38
AK-JHS-0005,Fafa Dogbe,F,Anyidzive JHS,Gefia,73.8,2. DIAMOND,3,4,89,66,82,52,82,70,84,90,88,35,51,89,55,90,37,78,57,42,42,40,57,39,85,61,72,66,92,87,55,62,77,81,92,66,41,73,95,47,71,72,36,36,40,47,84,76,87,76,85,59,91,84,67,48
AK-JHS-0006,Aseye Dzigba,F,Adidome JHS,Atidzive,79.9,2. DIAMOND,-4,10,49,36,52,43,42,61,50,36,77,35,92,76,65,62,47,39,59,75,78,94,35,87,87,71,35,79,86,91,50,95,89,44,78,81,94,85,72,65,81,53,51,65,67,47,81,81,85,57,83,59,50,80,86,84
AK-JHS-0007,Kwame Azumah,M,Dzogadze JHS,Agbedrafor,65.2,4. STRUGGLER,5,3,57,66,93,36,78,69,74,89,91,70,51,64,45,72,53,88,78,87,37,41,44,85,90,36,93,75,61,80,91,87,83,70,41,70,50,42,58,41,42,88,36,67,63,45,42,66,76,45,48,90,88,92,35,67
AK-JHS-0008,Akosua Dogbe,F,Wute JHS,Gefia,83.6,4. STRUGGLER,5,6,66,49,85,48,90,88,72,43,89,42,53,39,91,40,92,65,43,83,39,50,36,45,60,45,72,87,65,44,71,45,59,43,71,86,68,93,51,53,92,86,77,73,55,71,70,67,60,50,71,52,48,60,57,58
AK-JHS-0009,Akua Gbedemah,F,Awasive JHS,Akatsi B,55.2,2. DIAMOND,10,6,54,54,61,50,70,49,91,53,82,91,79,64,47,72,36,75,93,42,91,71,36,87,67,57,75,93,51,55,41,48,69,74,77,85,43,72,49,84,47,45,47,78,66,91,44,81,41,42,64,81,68,77,94,61
AK-JHS-0010,Kofi Kpodo,M,Aflao Main JHS,Wlitey,90.7,1. FLYER,9,8,45,68,60,57,35,78,82,68,52,38,87,73,59,84,87,42,72,85,86,71,77,56,51,69,64,92,65,38,73,46,84,74,71,69,48,49,58,48,57,83,47,72,91,41,41,71,62,80,71,82,95,81,51,65
AK-JHS-0011,Kwadwo Segbefia,M,Hatsiukope JHS,Agbedrafor,83.3,3. RISING STAR,9,4,85,93,85,63,60,58,70,48,90,43,76,46,78,91,74,41,37,41,36,89,56,47,70,86,90,90,80,87,51,77,60,46,77,86,61,90,79,35,38,66,36,82,50,84,85,47,93,37,42,64,93,49,83,62
AK-JHS-0012,Yaw Azumah,M,Aflao Main JHS,Wlitey,70.7,3. RISING STAR,13,10,90,44,50,64,56,89,61,87,82,42,64,59,63,54,78,83,61,54,38,51,54,95,40,78,53,94,50,50,89,84,36,36,67,81,54,53,47,60,37,81,63,64,87,80,56,69,60,81,73,40,82,66,67,47
AK-JHS-0013,Selasie Segbefia,M,Avenorpedo JHS,Avenorpedo,77.9,4. STRUGGLER,13,8,72,83,58,72,41,75,36,43,93,72,68,90,61,55,71,82,91,52,53,38,95,65,70,68,88,85,69,89,78,59,75,66,80,49,41,77,61,74,88,76,78,87,52,88,57,69,39,44,65,64,47,42,75,77
AK-JHS-0014,Mawuli Ahiable,M,Wlitey JHS,Wlitey,48.9,3. RISING STAR,5,10,48,77,71,54,53,52,40,93,49,37,81,66,79,55,71,53,91,65,62,51,61,78,64,65,89,37,76,92,94,81,57,47,59,89,67,63,38,79,53,43,82,72,76,55,63,41,56,79,85,56,59,69,37,85
AK-JHS-0015,Akua Dzigba,F,Agbedrafor JHS,Akatsi B,48.0,4. STRUGGLER,5,7,88,68,86,57,69,53,73,89,77,35,81,43,88,84,35,49,87,76,35,71,50,54,75,66,62,91,50,44,88,39,83,87,91,66,49,47,59,59,52,64,62,87,48,50,57,75,83,75,40,51,48,89,49,59
AK-JHS-0016,Godwin Dzigba,M,Dzodze Penyi JHS,Wlitey,78.4,2. DIAMOND,6,2,55,66,86,44,95,45,89,92,82,75,41,45,72,93,93,54,95,39,67,55,37,63,46,62,72,42,51,90,51,80,49,53,92,92,85,51,68,40,93,69,95,63,60,74,62,72,65,90,45,79,35,87,66,40
AK-JHS-0017,Godwin Gbedemah,M,Agbedrafor JHS,Akatsi B,74.0,1. FLYER,-1,8,73,37,61,62,85,58,41,88,65,90,47,47,85,67,73,44,54,70,70,90,58,44,57,87,69,79,38,51,88,79,65,57,40,38,61,60,95,55,89,73,52,72,79,53,54,89,91,68,41,73,78,54,79,37
AK-JHS-0018,Kwadwo Kpodo,M,Sogakope JHS,Atidzive,49.8,1. FLYER,2,10,75,75,88,35,63,37,37,87,69,89,82,70,57,74,82,45,36,64,87,73,65,58,75,74,70,49,93,45,38,52,91,94,92,50,48,54,87,81,94,42,86,62,76,37,45,64,67,45,53,57,77,92,40,68
AK-JHS-0019,Akosua Dogbe,F,Anyidzive JHS,Gefia,80.9,1. FLYER,-1,9,81,87,38,82,90,73,57,81,64,61,82,42,48,90,51,62,58,75,38,95,52,50,35,84,88,95,38,40,48,94,59,69,36,45,75,58,71,63,45,58,45,79,92,46,77,58,70,86,93,95,37,86,71,80
AK-JHS-0020,Adjoa Agbeko,F,Weta JHS,Avenorpedo,84.7,2. DIAMOND,10,3,92,73,86,68,47,82,42,91,70,51,53,95,58,35,59,66,58,78,94,80,70,40,82,57,40,37,79,38,69,74,44,51,65,68,41,71,93,57,53,95,94,63,48,51,48,68,77,60,59,81,75,58,68,92
AK-JHS-0021,Prosper Dzigba,M,Kpeve JHS,Avenorpedo,95.9,3. RISING STAR,0,1,90,84,54,36,63,62,53,47,45,60,53,47,68,85,53,46,84,80,56,62,76,59,62,45,93,93,60,77,66,46,68,51,53,68,81,83,52,47,57,59,73,60,80,47,90,91,39,93,39,64,78,80,92,35
